"product_id","product_name","seller_id","avg_price","avg_cogs","total_quantity_sold","total_sales"
442,"4-Slice Toaster",2,59.99,20.4,"3","179.97"
442,"4-Slice Toaster",10,59.99,20.4,"2","119.98"
442,"4-Slice Toaster",11,59.99,20.4,"1","59.99"
442,"4-Slice Toaster",14,59.99,20.4,"2","119.98"
442,"4-Slice Toaster",16,59.99,20.4,"3","179.97"
442,"4-Slice Toaster",18,59.99,20.4,"1","59.99"
442,"4-Slice Toaster",21,59.99,20.4,"1","59.99"
442,"4-Slice Toaster",22,59.99,20.4,"2","119.98"
442,"4-Slice Toaster",26,59.99,20.4,"4","239.96"
442,"4-Slice Toaster",32,59.99,20.4,"2","119.98"
442,"4-Slice Toaster",34,59.99,20.4,"7","419.93"
182,"ASUS ROG Flow X13",1,1499.99,315,"12","17999.88"
182,"ASUS ROG Flow X13",2,1499.99,315,"4","5999.96"
182,"ASUS ROG Flow X13",3,1499.99,315,"9","13499.91"
182,"ASUS ROG Flow X13",4,1499.99,315,"2","2999.98"
182,"ASUS ROG Flow X13",5,1499.99,315,"6","8999.94"
182,"ASUS ROG Flow X13",6,1499.99,315,"3","4499.97"
182,"ASUS ROG Flow X13",8,1499.99,315,"3","4499.97"
182,"ASUS ROG Flow X13",14,1499.99,315,"1","1499.99"
182,"ASUS ROG Flow X13",20,1499.99,315,"1","1499.99"
182,"ASUS ROG Flow X13",21,1499.99,315,"2","2999.98"
182,"ASUS ROG Flow X13",22,1499.99,315,"2","2999.98"
182,"ASUS ROG Flow X13",24,1499.99,315,"2","2999.98"
192,"ASUS ROG Strix G15",1,1499.99,225,"9","13499.91"
192,"ASUS ROG Strix G15",2,1499.99,225,"4","5999.96"
192,"ASUS ROG Strix G15",3,1499.99,225,"5","7499.95"
192,"ASUS ROG Strix G15",4,1499.99,225,"7","10499.93"
192,"ASUS ROG Strix G15",5,1499.99,225,"7","10499.93"
192,"ASUS ROG Strix G15",9,1499.99,225,"1","1499.99"
192,"ASUS ROG Strix G15",15,1499.99,225,"1","1499.99"
192,"ASUS ROG Strix G15",24,1499.99,225,"1","1499.99"
98,"ASUS ROG Strix Scar 15",1,2299.99,460,"6","13799.94"
98,"ASUS ROG Strix Scar 15",2,2299.99,460,"3","6899.97"
98,"ASUS ROG Strix Scar 15",3,2299.99,460,"7","16099.93"
98,"ASUS ROG Strix Scar 15",4,2299.99,460,"4","9199.96"
98,"ASUS ROG Strix Scar 15",5,2299.99,460,"9","20699.91"
98,"ASUS ROG Strix Scar 15",12,2299.99,460,"1","2299.99"
98,"ASUS ROG Strix Scar 15",13,2299.99,460,"2","4599.98"
98,"ASUS ROG Strix Scar 15",15,2299.99,460,"1","2299.99"
98,"ASUS ROG Strix Scar 15",20,2299.99,460,"1","2299.99"
147,"ASUS TUF Gaming A15",1,1299.99,130,"10","12999.90"
147,"ASUS TUF Gaming A15",2,1299.99,130,"11","14299.89"
147,"ASUS TUF Gaming A15",3,1299.99,130,"7","9099.93"
147,"ASUS TUF Gaming A15",4,1299.99,130,"12","15599.88"
147,"ASUS TUF Gaming A15",5,1299.99,130,"10","12999.90"
147,"ASUS TUF Gaming A15",16,1299.99,130,"2","2599.98"
210,"ASUS TUF Gaming VG27AQ Monitor",1,379.99,79.8,"1","379.99"
210,"ASUS TUF Gaming VG27AQ Monitor",2,379.99,79.8,"4","1519.96"
210,"ASUS TUF Gaming VG27AQ Monitor",3,379.99,79.8,"11","4179.89"
210,"ASUS TUF Gaming VG27AQ Monitor",4,379.98999999999995,79.79999999999998,"13","4939.87"
210,"ASUS TUF Gaming VG27AQ Monitor",5,379.99,79.8,"4","1519.96"
210,"ASUS TUF Gaming VG27AQ Monitor",8,379.99,79.8,"2","759.98"
210,"ASUS TUF Gaming VG27AQ Monitor",19,379.99,79.8,"1","379.99"
210,"ASUS TUF Gaming VG27AQ Monitor",21,379.99,79.8,"3","1139.97"
132,"ASUS ZenBook 13",1,1199.99,252,"7","8399.93"
132,"ASUS ZenBook 13",2,1199.99,252,"9","10799.91"
132,"ASUS ZenBook 13",3,1199.99,252,"6","7199.94"
132,"ASUS ZenBook 13",4,1199.99,252,"4","4799.96"
132,"ASUS ZenBook 13",5,1199.99,252,"10","11999.90"
132,"ASUS ZenBook 13",7,1199.99,252,"2","2399.98"
132,"ASUS ZenBook 13",9,1199.99,252,"1","1199.99"
132,"ASUS ZenBook 13",25,1199.99,252,"3","3599.97"
127,"Acer Nitro 5 Gaming Laptop",1,1099.99,319,"9","9899.91"
127,"Acer Nitro 5 Gaming Laptop",2,1099.99,319,"6","6599.94"
127,"Acer Nitro 5 Gaming Laptop",3,1099.99,319,"9","9899.91"
127,"Acer Nitro 5 Gaming Laptop",4,1099.99,319,"12","13199.88"
127,"Acer Nitro 5 Gaming Laptop",5,1099.99,319,"6","6599.94"
127,"Acer Nitro 5 Gaming Laptop",7,1099.99,319,"1","1099.99"
127,"Acer Nitro 5 Gaming Laptop",11,1099.99,319,"3","3299.97"
127,"Acer Nitro 5 Gaming Laptop",12,1099.99,319,"2","2199.98"
127,"Acer Nitro 5 Gaming Laptop",16,1099.99,319,"2","2199.98"
111,"Acer Predator Helios 300",1,1399.99,168,"9","12599.91"
111,"Acer Predator Helios 300",2,1399.99,168,"8","11199.92"
111,"Acer Predator Helios 300",3,1399.99,168,"8","11199.92"
111,"Acer Predator Helios 300",4,1399.99,168,"7","9799.93"
111,"Acer Predator Helios 300",5,1399.99,168,"9","12599.91"
111,"Acer Predator Helios 300",21,1399.99,168,"3","4199.97"
111,"Acer Predator Helios 300",23,1399.99,168,"2","2799.98"
146,"Acer Predator X34 Monitor",1,1099.99,264,"5","5499.95"
146,"Acer Predator X34 Monitor",2,1099.99,264,"11","12099.89"
146,"Acer Predator X34 Monitor",3,1099.99,264,"6","6599.94"
146,"Acer Predator X34 Monitor",4,1099.99,264,"2","2199.98"
146,"Acer Predator X34 Monitor",5,1099.99,264,"6","6599.94"
146,"Acer Predator X34 Monitor",7,1099.99,264,"2","2199.98"
146,"Acer Predator X34 Monitor",12,1099.99,264,"3","3299.97"
561,"Action Figures",1,24.99,2.75,"4","99.96"
561,"Action Figures",2,24.99,2.75,"5","124.95"
561,"Action Figures",5,24.99,2.75,"3","74.97"
561,"Action Figures",20,24.99,2.75,"3","74.97"
561,"Action Figures",21,24.99,2.75,"2","49.98"
561,"Action Figures",23,24.99,2.75,"1","24.99"
561,"Action Figures",24,24.99,2.75,"1","24.99"
561,"Action Figures",35,24.99,2.75,"4","99.96"
704,"Action Figures Set",2,29.99,3.9,"2","59.98"
704,"Action Figures Set",3,29.99,3.9,"7","209.93"
704,"Action Figures Set",4,29.99,3.9,"6","179.94"
704,"Action Figures Set",5,29.99,3.9,"16","479.84"
704,"Action Figures Set",6,29.99,3.9,"6","179.94"
704,"Action Figures Set",7,29.99,3.9,"4","119.96"
704,"Action Figures Set",8,29.99,3.9,"6","179.94"
704,"Action Figures Set",9,29.99,3.9,"2","59.98"
704,"Action Figures Set",12,29.99,3.9,"2","59.98"
704,"Action Figures Set",13,29.99,3.9,"3","89.97"
704,"Action Figures Set",14,29.99,3.9,"8","239.92"
704,"Action Figures Set",15,29.99,3.9,"18","539.82"
704,"Action Figures Set",16,29.99,3.9,"13","389.87"
704,"Action Figures Set",17,29.99,3.9,"6","179.94"
704,"Action Figures Set",18,29.99,3.9,"8","239.92"
704,"Action Figures Set",19,29.99,3.9,"3","89.97"
704,"Action Figures Set",20,29.99,3.9,"10","299.90"
704,"Action Figures Set",21,29.990000000000002,3.8999999999999995,"20","599.80"
704,"Action Figures Set",22,29.99,3.9,"8","239.92"
704,"Action Figures Set",23,29.99,3.9,"5","149.95"
704,"Action Figures Set",24,29.99,3.9,"5","149.95"
