product_id,product_name,seller_id,avg_price,avg_cogs,total_quantity_sold,total_sales,campaign_id,company_type,budget_percentage,marketing_budget,actual_spend,projected_sales,uplift_percentage,campaign_name,start_date,end_date,marketing_channel
442,4-Slice Toaster,2.0,59.99,20.4,3.0,179.97,100.0,Aggressive Growth,19.55,35.19,35.19,38.41,9.15,,,,
442,4-Slice Toaster,10.0,59.99,20.4,2.0,119.98,398.0,Aggressive Growth,16.32,19.58,19.58,24.8,26.67,,,,
442,4-Slice Toaster,11.0,59.99,20.4,1.0,59.99,293.0,Aggressive Growth,18.79,11.27,11.27,12.58,11.64,,,,
442,4-Slice Toaster,14.0,59.99,20.4,2.0,119.98,83.0,Aggressive Growth,15.68,18.81,18.81,21.09,12.11,,,,
442,4-Slice Toaster,16.0,59.99,20.4,3.0,179.97,354.0,Established,7.95,14.3,14.3,17.16,19.99,,,,
442,4-Slice Toaster,18.0,59.99,20.4,1.0,59.99,765.0,Established,7.34,4.4,4.4,5.46,24.13,,,,
442,4-Slice Toaster,21.0,59.99,20.4,1.0,59.99,315.0,Established,7.53,4.52,4.52,4.88,7.9,,,,
442,4-Slice Toaster,22.0,59.99,20.4,2.0,119.98,243.0,Aggressive Growth,16.42,19.7,19.7,23.94,21.5,,,,
442,4-Slice Toaster,26.0,59.99,20.4,4.0,239.96,174.0,Aggressive Growth,16.73,40.14,40.14,50.37,25.48,,,,
442,4-Slice Toaster,32.0,59.99,20.4,2.0,119.98,25.0,Aggressive Growth,19.05,22.86,22.86,24.14,5.6,,,,
442,4-Slice Toaster,34.0,59.99,20.4,7.0,419.93,466.0,Established,7.81,32.81,32.81,40.5,23.45,,,,
182,ASUS ROG Flow X13,1.0,1499.99,315.0,12.0,17999.88,251.0,Established,7.93,1427.22,1427.22,1569.1,9.94,,,,
182,ASUS ROG Flow X13,2.0,1499.99,315.0,4.0,5999.96,606.0,Established,7.18,430.67,430.67,502.73,16.73,,,,
182,ASUS ROG Flow X13,3.0,1499.99,315.0,9.0,13499.91,232.0,Aggressive Growth,15.6,2106.55,2106.55,2563.87,21.71,,,,
182,ASUS ROG Flow X13,4.0,1499.99,315.0,2.0,2999.98,316.0,Established,7.58,227.5,227.5,291.44,28.11,,,,
182,ASUS ROG Flow X13,5.0,1499.99,315.0,6.0,8999.94,588.0,Aggressive Growth,17.13,1541.54,1541.54,1694.23,9.9,,,,
182,ASUS ROG Flow X13,6.0,1499.99,315.0,3.0,4499.97,147.0,Established,7.96,358.06,358.06,451.31,26.04,,,,
182,ASUS ROG Flow X13,8.0,1499.99,315.0,3.0,4499.97,60.0,Established,7.45,335.25,335.25,353.54,5.45,,,,
182,ASUS ROG Flow X13,14.0,1499.99,315.0,1.0,1499.99,163.0,Aggressive Growth,19.75,296.31,296.31,378.96,27.89,,,,
182,ASUS ROG Flow X13,20.0,1499.99,315.0,1.0,1499.99,309.0,Aggressive Growth,18.51,277.63,277.63,343.63,23.77,,,,
182,ASUS ROG Flow X13,21.0,1499.99,315.0,2.0,2999.98,276.0,Established,7.25,217.44,217.44,247.45,13.8,,,,
182,ASUS ROG Flow X13,22.0,1499.99,315.0,2.0,2999.98,532.0,Established,7.09,212.83,212.83,231.58,8.81,,,,
182,ASUS ROG Flow X13,24.0,1499.99,315.0,2.0,2999.98,548.0,Aggressive Growth,18.8,563.94,563.94,636.03,12.78,,,,
192,ASUS ROG Strix G15,1.0,1499.99,225.0,9.0,13499.91,248.0,Established,7.37,994.46,994.46,1048.59,5.44,,,,
192,ASUS ROG Strix G15,2.0,1499.99,225.0,4.0,5999.96,233.0,Aggressive Growth,20.0,1199.93,1199.93,1372.11,14.35,,,,
192,ASUS ROG Strix G15,3.0,1499.99,225.0,5.0,7499.95,299.0,Aggressive Growth,19.1,1432.51,1432.51,1584.2,10.59,,,,
192,ASUS ROG Strix G15,4.0,1499.99,225.0,7.0,10499.93,77.0,Aggressive Growth,15.73,1651.54,1651.54,1979.72,19.87,,,,
192,ASUS ROG Strix G15,5.0,1499.99,225.0,7.0,10499.93,140.0,Aggressive Growth,17.19,1804.7,1804.7,1900.59,5.31,,,,
192,ASUS ROG Strix G15,9.0,1499.99,225.0,1.0,1499.99,169.0,Aggressive Growth,17.47,262.03,262.03,287.81,9.84,,,,
192,ASUS ROG Strix G15,15.0,1499.99,225.0,1.0,1499.99,45.0,Aggressive Growth,19.71,295.6,295.6,365.37,23.6,,,,
192,ASUS ROG Strix G15,24.0,1499.99,225.0,1.0,1499.99,553.0,Established,7.55,113.18,113.18,122.15,7.92,,,,
98,ASUS ROG Strix Scar 15,1.0,2299.99,460.0,6.0,13799.94,552.0,Aggressive Growth,16.96,2341.14,2341.14,2876.2,22.85,,,,
98,ASUS ROG Strix Scar 15,2.0,2299.99,460.0,3.0,6899.97,391.0,Aggressive Growth,17.91,1235.47,1235.47,1310.76,6.09,,,,
98,ASUS ROG Strix Scar 15,3.0,2299.99,460.0,7.0,16099.93,490.0,Established,7.25,1166.56,1166.56,1472.65,26.24,,,,
98,ASUS ROG Strix Scar 15,4.0,2299.99,460.0,4.0,9199.96,226.0,Established,7.28,669.69,669.69,734.7,9.71,,,,
98,ASUS ROG Strix Scar 15,5.0,2299.99,460.0,9.0,20699.91,104.0,Aggressive Growth,15.11,3127.41,3127.41,3780.91,20.9,,,,
98,ASUS ROG Strix Scar 15,12.0,2299.99,460.0,1.0,2299.99,737.0,Aggressive Growth,16.95,389.96,389.96,425.98,9.24,,,,
98,ASUS ROG Strix Scar 15,13.0,2299.99,460.0,2.0,4599.98,170.0,Aggressive Growth,16.23,746.62,746.62,910.42,21.94,,,,
98,ASUS ROG Strix Scar 15,15.0,2299.99,460.0,1.0,2299.99,636.0,Aggressive Growth,18.31,421.14,421.14,472.34,12.16,,,,
98,ASUS ROG Strix Scar 15,20.0,2299.99,460.0,1.0,2299.99,156.0,Established,7.86,180.82,180.82,192.07,6.22,,,,
147,ASUS TUF Gaming A15,1.0,1299.99,130.0,10.0,12999.9,371.0,Aggressive Growth,15.59,2026.75,2026.75,2262.84,11.65,,,,
147,ASUS TUF Gaming A15,2.0,1299.99,130.0,11.0,14299.89,477.0,Aggressive Growth,17.12,2448.27,2448.27,2828.58,15.53,,,,
147,ASUS TUF Gaming A15,3.0,1299.99,130.0,7.0,9099.93,62.0,Established,7.58,689.73,689.73,829.08,20.2,,,,
147,ASUS TUF Gaming A15,4.0,1299.99,130.0,12.0,15599.88,382.0,Aggressive Growth,15.21,2372.24,2372.24,2866.58,20.84,,,,
147,ASUS TUF Gaming A15,5.0,1299.99,130.0,10.0,12999.9,469.0,Aggressive Growth,15.32,1991.56,1991.56,2508.56,25.96,,,,
147,ASUS TUF Gaming A15,16.0,1299.99,130.0,2.0,2599.98,347.0,Established,7.94,206.44,206.44,235.48,14.07,,,,
210,ASUS TUF Gaming VG27AQ Monitor,1.0,379.99,79.8,1.0,379.99,424.0,Aggressive Growth,19.82,75.31,75.31,94.17,25.04,,,,
210,ASUS TUF Gaming VG27AQ Monitor,2.0,379.99,79.8,4.0,1519.96,265.0,Established,7.86,119.44,119.44,132.24,10.72,,,,
210,ASUS TUF Gaming VG27AQ Monitor,3.0,379.99,79.8,11.0,4179.89,159.0,Aggressive Growth,15.01,627.59,627.59,674.63,7.5,,,,
210,ASUS TUF Gaming VG27AQ Monitor,4.0,379.99,79.79999999999998,13.0,4939.87,456.0,Established,7.14,352.6,352.6,377.4,7.03,,,,
210,ASUS TUF Gaming VG27AQ Monitor,5.0,379.99,79.8,4.0,1519.96,437.0,Aggressive Growth,17.91,272.2,272.2,294.57,8.22,,,,
210,ASUS TUF Gaming VG27AQ Monitor,8.0,379.99,79.8,2.0,759.98,125.0,Aggressive Growth,18.64,141.65,141.65,153.33,8.25,,,,
210,ASUS TUF Gaming VG27AQ Monitor,19.0,379.99,79.8,1.0,379.99,378.0,Established,7.09,26.94,26.94,30.26,12.31,,,,
210,ASUS TUF Gaming VG27AQ Monitor,21.0,379.99,79.8,3.0,1139.97,534.0,Established,7.5,85.55,85.55,95.1,11.17,,,,
132,ASUS ZenBook 13,1.0,1199.99,252.0,7.0,8399.93,613.0,Established,7.36,618.2,618.2,685.43,10.88,,,,
132,ASUS ZenBook 13,2.0,1199.99,252.0,9.0,10799.91,259.0,Aggressive Growth,19.53,2108.91,2108.91,2599.3,23.25,,,,
132,ASUS ZenBook 13,3.0,1199.99,252.0,6.0,7199.94,52.0,Aggressive Growth,16.55,1191.34,1191.34,1377.26,15.61,,,,
132,ASUS ZenBook 13,4.0,1199.99,252.0,4.0,4799.96,434.0,Aggressive Growth,16.58,795.75,795.75,868.08,9.09,,,,
132,ASUS ZenBook 13,5.0,1199.99,252.0,10.0,11999.9,620.0,Established,7.1,851.65,851.65,1068.58,25.47,,,,
132,ASUS ZenBook 13,7.0,1199.99,252.0,2.0,2399.98,749.0,Established,7.13,171.01,171.01,205.93,20.42,,,,
132,ASUS ZenBook 13,9.0,1199.99,252.0,1.0,1199.99,585.0,Aggressive Growth,16.43,197.16,197.16,220.03,11.6,,,,
132,ASUS ZenBook 13,25.0,1199.99,252.0,3.0,3599.97,423.0,Established,7.77,279.78,279.78,362.26,29.48,,,,
127,Acer Nitro 5 Gaming Laptop,1.0,1099.99,319.0,9.0,9899.91,175.0,Aggressive Growth,18.99,1879.64,1879.64,2345.25,24.77,,,,
127,Acer Nitro 5 Gaming Laptop,2.0,1099.99,319.0,6.0,6599.94,185.0,Aggressive Growth,15.2,1003.4,1003.4,1118.15,11.44,,,,
127,Acer Nitro 5 Gaming Laptop,3.0,1099.99,319.0,9.0,9899.91,532.0,Aggressive Growth,19.51,1931.29,1931.29,2474.02,28.1,,,,
